,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
South Holland,E07000140,8600,52700,16.2,6.2,4500,52700,8.5,4.7,13900,52700,26.3,7.5,16000,52700,30.3,7.8,6400,52700,12.2,5.5,3400,52700,6.5,4.2
South Kesteven,E07000141,21700,81300,26.7,6,9600,81300,11.8,4.4,23700,81300,29.2,6.2,17000,81300,20.9,5.6,5000,81300,6.2,3.3,4300,81300,5.3,3.1
West Lindsey,E07000142,11200,53100,21,6.1,6600,53100,12.4,5,11700,53100,22,6.2,15500,53100,29.2,6.9,4100,53100,7.7,4,4100,53100,7.7,4
Corby,E07000150,6100,41500,14.7,6.7,2100,41500,5,*,12700,41500,30.6,8.8,11200,41500,27.1,8.5,5700,41500,13.8,6.6,3700,41500,8.9,5.4
Daventry,E07000151,11100,46900,23.6,8,3400,46900,7.3,*,11100,46900,23.7,8.1,11500,46900,24.6,8.2,4200,46900,9.1,*,5500,46900,11.7,6.1
East Northamptonshire,E07000152,9900,54700,18.2,6.2,5200,54700,9.6,4.8,14100,54700,25.8,7.1,15900,54700,29.1,7.3,6900,54700,12.7,5.4,2600,54700,4.7,*
Kettering,E07000153,13700,57100,24,6.8,4300,57100,7.6,4.2,14500,57100,25.4,7,16800,57100,29.4,7.3,3800,57100,6.7,4,4000,57100,7,4.1
Northampton,E07000154,32800,140700,23.3,4.5,10100,140700,7.2,2.7,31600,140700,22.5,4.4,36200,140700,25.7,4.6,12700,140700,9.1,3,17300,140700,12.3,3.5
South Northamptonshire,E07000155,17000,53000,32.1,7.1,3800,53000,7.1,3.9,14700,53000,27.7,6.8,13300,53000,25.1,6.6,1800,53000,3.4,*,2400,53000,4.6,*
Wellingborough,E07000156,7800,43700,18,6.2,1700,43700,3.8,*,8000,43700,18.2,6.2,14000,43700,32.1,7.5,6300,43700,14.4,5.6,5900,43700,13.4,5.5
Ashfield,E07000170,13000,74700,17.4,5.8,3800,74700,5.1,*,23000,74700,30.7,7.1,23500,74700,31.5,7.2,7400,74700,9.9,4.6,4000,74700,5.4,*
Bassetlaw,E07000171,13000,68600,18.9,7.1,4200,68600,6.2,*,10600,68600,15.5,6.5,23100,68600,33.7,8.5,8000,68600,11.6,5.8,9600,68600,14.1,6.3
Broxtowe,E07000172,19600,69200,28.3,7.1,7300,69200,10.6,4.9,12000,69200,17.3,6,17100,69200,24.7,6.8,6000,69200,8.7,4.4,7300,69200,10.6,4.9
Gedling,E07000173,21400,71600,29.8,7.4,6600,71600,9.2,4.7,17800,71600,24.8,7,14000,71600,19.6,6.4,5600,71600,7.9,4.3,6300,71600,8.7,4.6
Mansfield,E07000174,9600,62400,15.5,6.2,7600,62400,12.1,5.6,14200,62400,22.8,7.2,17200,62400,27.5,7.7,10700,62400,17.2,6.5,3000,62400,4.9,*
