,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
Wiltshire,E06000054,277300,474700,58.4,2.3,292800,474700,61.7,2.3,!,474700,!,!,31000,474700,6.5,1.2,9900,474700,2.1,0.7,7900,474700,1.7,0.6
East Devon,E07000040,84100,137900,61,5.6,93500,137900,67.8,5.4,!,137900,!,!,2400,137900,1.7,*,!,137900,!,!,!,137900,!,!
Exeter,E07000041,77600,125400,61.9,5.7,67800,125400,54.1,5.8,!,125400,!,!,17200,125400,13.7,4,1900,125400,1.5,*,1300,125400,1.1,*
Mid Devon,E07000042,36700,76000,48.3,7.5,49500,76000,65,7.1,!,76000,!,!,4200,76000,5.5,*,!,76000,!,!,!,76000,!,!
North Devon,E07000043,55500,92200,60.1,7,60200,92200,65.3,6.8,!,92200,!,!,1300,92200,1.5,*,!,92200,!,!,!,92200,!,!
South Hams,E07000044,48200,83200,58,6.7,54500,83200,65.6,6.4,!,83200,!,!,2800,83200,3.3,*,1400,83200,1.6,*,!,83200,!,!
Teignbridge,E07000045,79800,125800,63.4,5.2,57500,125800,45.7,5.4,!,125800,!,!,3600,125800,2.8,1.8,!,125800,!,!,1300,125800,1,*
Torridge,E07000046,34300,65500,52.5,7.6,41600,65500,63.5,7.3,!,65500,!,!,1000,65500,1.5,*,!,65500,!,!,!,65500,!,!
West Devon,E07000047,32200,53000,60.8,8.4,29400,53000,55.5,8.5,!,53000,!,!,2600,53000,4.9,*,1300,53000,2.4,*,!,53000,!,!
Christchurch,E07000048,19300,48900,39.5,7.5,37500,48900,76.6,6.5,!,48900,!,!,1000,48900,2.1,*,!,48900,!,!,!,48900,!,!
East Dorset,E07000049,31500,87700,36,5.2,59900,87700,68.3,5.1,!,87700,!,!,2300,87700,2.6,*,1100,87700,1.2,*,800,87700,0.9,*
